file	bleu	correct
schema_10_test_case_1.json	0,0000	true
schema_10_test_case_10.json	0,0000	true
schema_10_test_case_11.json	0,0000	true
schema_10_test_case_12.json	0,0000	true
schema_10_test_case_13.json	0,0000	true
schema_10_test_case_14.json	0,0000	false
schema_10_test_case_15.json	0,0000	true
schema_10_test_case_16.json	0,0000	true
schema_10_test_case_17.json	0,0000	true
schema_10_test_case_2.json	0,0000	true
schema_10_test_case_3.json	0,0000	true
schema_10_test_case_4.json	0,0000	true
schema_10_test_case_5.json	0,0000	true
schema_10_test_case_6.json	0,0000	true
schema_10_test_case_7.json	0,0000	true
schema_10_test_case_8.json	0,0000	true
schema_10_test_case_9.json	0,0000	true
schema_11_test_case_1.json	0,3656	true
schema_11_test_case_2.json	0,5081	true
schema_11_test_case_3.json	0,0000	true
schema_11_test_case_4.json	1,0000	true
schema_11_test_case_5.json	1,0000	true
schema_11_test_case_6.json	0,0000	true
schema_12_test_case_1.json	0,0000	false
schema_12_test_case_2.json	0,0000	true
schema_12_test_case_3.json	0,0000	true
schema_12_test_case_4.json	0,0000	true
schema_12_test_case_5.json	0,0000	true
schema_13_test_case_1.json	0,2201	true
schema_13_test_case_10.json	0,0000	true
schema_13_test_case_11.json	0,1224	true
schema_13_test_case_12.json	0,0000	true
schema_13_test_case_13.json	0,0000	true
schema_13_test_case_14.json	0,0605	true
schema_13_test_case_15.json	0,1105	true
schema_13_test_case_16.json	0,0000	true
schema_13_test_case_17.json	0,0163	true
schema_13_test_case_18.json	0,0000	true
schema_13_test_case_19.json	0,0000	true
schema_13_test_case_2.json	0,0000	true
schema_13_test_case_20.json	0,0651	true
schema_13_test_case_21.json	0,4765	true
schema_13_test_case_22.json	1,0000	true
schema_13_test_case_23.json	0,0000	true
schema_13_test_case_24.json	0,0000	true
schema_13_test_case_25.json	0,0000	true
schema_13_test_case_26.json	0,0000	true
schema_13_test_case_27.json	0,0000	true
schema_13_test_case_28.json	0,4407	true
schema_13_test_case_29.json	0,5719	true
schema_13_test_case_3.json	0,0000	true
schema_13_test_case_30.json	0,0000	true
schema_13_test_case_31.json	0,2197	true
schema_13_test_case_32.json	0,0000	true
schema_13_test_case_33.json	0,0000	true
schema_13_test_case_34.json	0,0000	true
schema_13_test_case_35.json	0,0000	true
schema_13_test_case_36.json	0,0000	true
schema_13_test_case_37.json	0,2065	true
schema_13_test_case_38.json	0,0000	true
schema_13_test_case_39.json	1,0000	true
schema_13_test_case_4.json	0,0000	true
schema_13_test_case_40.json	0,0000	true
schema_13_test_case_41.json	0,0000	true
schema_13_test_case_42.json	0,0000	true
schema_13_test_case_43.json	0,1096	true
schema_13_test_case_44.json	0,0000	true
schema_13_test_case_45.json	0,0000	true
schema_13_test_case_46.json	0,0000	true
schema_13_test_case_47.json	1,0000	true
schema_13_test_case_48.json	0,0000	true
schema_13_test_case_49.json	0,0000	true
schema_13_test_case_5.json	0,0000	true
schema_13_test_case_50.json	0,0000	true
schema_13_test_case_51.json	0,0000	true
schema_13_test_case_52.json	0,0000	true
schema_13_test_case_53.json	0,5408	true
schema_13_test_case_54.json	0,0000	true
schema_13_test_case_55.json	0,0000	true
schema_13_test_case_56.json	0,0000	true
schema_13_test_case_57.json	0,0000	true
schema_13_test_case_6.json	0,0000	true
schema_13_test_case_7.json	0,0000	true
schema_13_test_case_8.json	0,0000	true
schema_13_test_case_9.json	0,0000	true
schema_15_test_case_1.json	0,0000	true
schema_15_test_case_10.json	0,0000	true
schema_15_test_case_11.json	0,1224	true
schema_15_test_case_12.json	0,0000	true
schema_15_test_case_13.json	0,0000	true
schema_15_test_case_14.json	0,0563	true
schema_15_test_case_15.json	0,0493	true
schema_15_test_case_16.json	0,0173	true
schema_15_test_case_17.json	0,0026	true
schema_15_test_case_18.json	0,0000	true
schema_15_test_case_19.json	0,0000	true
schema_15_test_case_2.json	0,0000	false
schema_15_test_case_20.json	0,0978	true
schema_15_test_case_21.json	0,7613	true
schema_15_test_case_22.json	0,5946	true
schema_15_test_case_23.json	0,0000	true
schema_15_test_case_24.json	0,0000	true
schema_15_test_case_25.json	0,0000	true
schema_15_test_case_26.json	0,0000	true
schema_15_test_case_27.json	0,0000	true
schema_15_test_case_28.json	0,4407	true
schema_15_test_case_29.json	0,5719	true
schema_15_test_case_3.json	0,0000	true
schema_15_test_case_30.json	0,0000	true
schema_15_test_case_31.json	0,0000	true
schema_15_test_case_32.json	0,0000	true
schema_15_test_case_33.json	0,2790	true
schema_15_test_case_34.json	0,0000	true
schema_15_test_case_35.json	0,0000	true
schema_15_test_case_36.json	0,0000	true
schema_15_test_case_37.json	0,1947	true
schema_15_test_case_38.json	0,0000	true
schema_15_test_case_39.json	1,0000	true
schema_15_test_case_4.json	0,0000	true
schema_15_test_case_40.json	0,0000	true
schema_15_test_case_41.json	0,0000	true
schema_15_test_case_42.json	0,3287	true
schema_15_test_case_43.json	0,0000	true
schema_15_test_case_44.json	0,0000	true
schema_15_test_case_45.json	0,0000	true
schema_15_test_case_46.json	0,0000	true
schema_15_test_case_47.json	1,0000	true
schema_15_test_case_48.json	0,0000	true
schema_15_test_case_49.json	0,0561	true
schema_15_test_case_5.json	0,0000	true
schema_15_test_case_50.json	0,0000	true
schema_15_test_case_51.json	0,0000	true
schema_15_test_case_52.json	0,0000	true
schema_15_test_case_53.json	0,5408	true
schema_15_test_case_54.json	0,0000	true
schema_15_test_case_55.json	0,0000	true
schema_15_test_case_56.json	0,0000	true
schema_15_test_case_57.json	0,0000	true
schema_15_test_case_6.json	0,0000	true
schema_15_test_case_7.json	0,0000	true
schema_15_test_case_8.json	0,0000	true
schema_15_test_case_9.json	0,0000	true
schema_17_test_case_1.json	0,0000	true
schema_17_test_case_2.json	0,0000	true
schema_18_test_case_1.json	0,0000	true
schema_18_test_case_2.json	1,0000	true
schema_18_test_case_3.json	0,0000	true
schema_18_test_case_4.json	0,1146	true
schema_18_test_case_5.json	0,0000	true
schema_18_test_case_6.json	0,0000	true
schema_19_test_case_1.json	0,0000	true
schema_19_test_case_2.json	0,7598	true
schema_1_test_case_1.json	0,0000	false
schema_1_test_case_10.json	0,0000	true
schema_1_test_case_11.json	0,0000	true
schema_1_test_case_12.json	0,7788	true
schema_1_test_case_2.json	0,0000	true
schema_1_test_case_3.json	0,0000	true
schema_1_test_case_4.json	0,0000	true
schema_1_test_case_5.json	0,0000	true
schema_1_test_case_6.json	0,0000	true
schema_1_test_case_7.json	0,0000	true
schema_1_test_case_8.json	0,0000	true
schema_1_test_case_9.json	0,0000	true
schema_20_test_case_1.json	0,0000	true
schema_20_test_case_2.json	0,0000	false
schema_20_test_case_3.json	0,0000	true
schema_20_test_case_4.json	0,0000	true
schema_20_test_case_5.json	0,0000	true
schema_20_test_case_6.json	0,0000	true
schema_21_test_case_1.json	0,0000	true
schema_21_test_case_10.json	0,7063	true
schema_21_test_case_11.json	0,8825	true
schema_21_test_case_12.json	0,3923	true
schema_21_test_case_13.json	0,0818	true
schema_21_test_case_14.json	0,0000	true
